ID	title	edition	language	redump_status	region	system	version
51000	Sonic Adventure	Original, Sega All Stars	English / French / German / Japanese / Spanish	2 and more dumps from original media [!]	USA	DC	1.005
51001	Virtua Fighter 3tb	Original	English	Dumped from original media	USA	DC	1.002
51002	The House of the Dead 2	Original, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.001
51003	NFL 2K	Original, Bundled with DC, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.007
51004	NBA 2K	Original, Bundled with DC, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.008
51006	Sega Bass Fishing	Original, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.000
51007	Flag to Flag	Original	English	Dumped from original media	USA	DC	1.000
51010	Rippin' Riders	Original	English	2 and more dumps from original media [!]	USA	DC	1.001
51011	Time Stalkers	Original	English	2 and more dumps from original media [!]	USA	DC	1.002
51012	MSR: Metropolis Street Racer	Original	English	Dumped from original media	USA	DC	1.010
51013	Dynamite Cop!	Original	English	Dumped from original media	USA	DC	1.005
51019	Sega Rally 2	Original	English	2 and more dumps from original media [!]	USA	DC	1.003
51020	Toy Commander	Original	English / French / German / Spanish	Dumped from original media	USA	DC	1.022
51025	NHL 2K	Original, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.000
51027	Web Browser	N/A	English	2 and more dumps from original media [!]	USA	DC	1.125
51028	Virtua Striker 2	Original	English / German / Japanese / Spanish	Dumped from original media	USA	DC	1.002
51030	F1 World Grand Prix	Original	English / French / German / Spanish	Dumped from original media	USA	DC	1.006
51033	Ecco the Dolphin: Defender of the Future	Original	English / French / German / Spanish	2 and more dumps from original media [!]	USA	DC	1.000
51034	Generator Vol. 1	N/A	English	2 and more dumps from original media [!]	USA	DC	1.002
51035	Crazy Taxi	Original, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.004
51036	D2 (Disc 4)	Original	English	Dumped from original media	USA	DC	1.000
51037	Daytona USA	Original	English	Dumped from original media	USA	DC	1.004
51038	Zombie Revenge	Original	English	Dumped from original media	USA	DC	1.001
51048	Seaman	Original	English	2 and more dumps from original media [!]	USA	DC	1.001
51049	ChuChu Rocket!	Original	English / French / German / Japanese / Spanish	2 and more dumps from original media [!]	USA	DC	1.007
51050	Maken X	Original	English	Dumped from original media	USA	DC	1.001
51051	Space Channel 5	Original	English	2 and more dumps from original media [!]	USA	DC	1.000
51052	Skies of Arcadia (Disc 2)	Original	English	Dumped from original media	USA	DC	1.002
51054	Virtua Tennis	Original, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.001
51055	World Series Baseball 2K1	Original, Bundled with DC, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.000
51056	Web Browser 2.0	Original	English	Dumped from original media	USA	DC	2.004
51057	Generator Vol. 2	Original	English	2 and more dumps from original media [!]	USA	DC	1.000
51058	Jet Grind Radio	Original	English	2 and more dumps from original media [!]	USA	DC	1.005
51059	Shenmue (Disc 3)	Original	English	Dumped from original media	USA	DC	1.003
51060	Sonic Shuffle	Original	English	Dumped from original media	USA	DC	1.000
51061	Quake III: Arena	Original	English	2 and more dumps from original media [!]	USA	DC	0.800
51062	NFL 2K1	Original, Bundled with DC, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.003
51063	NBA 2K1	Original, Bundled with DC, Sega All Stars	English	2 and more dumps from original media [!]	USA	DC	1.008
51064	18 Wheeler: American Pro Trucker	Original	English	2 and more dumps from original media [!]	USA	DC	1.500
51065	Bomberman Online	Original	N/A	Dumped from original media	USA	DC	1.004
51084	Jet Grind Radio	Original	English	2 and more dumps from original media [!]	USA	DC	1.005
51092	Samba de Amigo	Original	English	2 and more dumps from original media [!]	USA	DC	1.001
51096	Sega Marine Fishing	Original	English	Dumped from original media	USA	DC	1.001
51100	Sonic Adventure 2: The Trial	Demo	English / Japanese	2 and more dumps from original media [!]	USA, Japan	DC	1.000
51102	Outtrigger	Original	English	Dumped from original media	USA	DC	1.003
51114	Floigan Bros.: Episode 1	Original	English	Dumped from original media	USA	DC	1.001
51117	Sonic Adventure 2	Original	English / French / German / Japanese / Spanish	Dumped from original media	USA	DC	1.008
51128	Web Browser 2.0 with SegaNet	Original	English	2 and more dumps from original media [!]	USA	DC	2.100
51131	Shenmue (Disc 1)	Original, Limited Edition	English	2 and more dumps from original media [!]	USA	DC	1.003
51136	Crazy Taxi 2	Original	English	Dumped from original media	USA	DC	1.004
51140	Ooga Booga	Original	English	Dumped from original media	USA	DC	1.001
51142	Web Browser 2.62	Original	English	Dumped from original media	USA	DC	2.613
51144	The Typing of the Dead	Original	English	Dumped from original media	USA	DC	1.004
51146	Sega Smash Pack: Volume 1	Original, Bundled with DC	English	2 and more dumps from original media [!]	USA	DC	1.002
51152	World Series Baseball 2K2	Original	English	Dumped from original media	USA	DC	1.000
