ID	title	language	region	release_date	serial
BMP-GCRP-EUR	Xeno Crisis	Dutch / English / French / German / Italian / Japanese / Portuguese / Spanish	PAL	2023-04	BMP-GCRP-EUR
DOL-301E-USA	Nintendo GameCube Service Disc Version 1.0/03	English	NTSC-U	2003	DOL-301E-USA
DOL-D23J-DIS	Game Taikai Yuushou Kinen: Tokusei SmaBro DX Movie Disc	Japanese	NTSC-J	2002	DOL-D23J-DIS
DOL-D24J-DIS	SmaBro DX Event-you Disc	Japanese	NTSC-J	2002	DOL-D24J-DIS
DOL-D29J-DIS	Gekkan Nintendo Tentou Demo 2002.5.1	Japanese	NTSC-J	2002-05-01	DOL-D29J-DIS
DOL-D32J-DIS	Gekkan Nintendo Tentou Demo 2002.6.1	Japanese	NTSC-J	2002-06-01	DOL-D32J-DIS
DOL-D33J-DIS	Gekkan Nintendo Tentou Demo 2002.7.1	Japanese	NTSC-J	2002-07-01	DOL-D33J-DIS
DOL-D34J-DIS	Gekkan Nintendo Tentou Demo 2002.7.10	Japanese	NTSC-J	2002-07-10	DOL-D34J-DIS
DOL-D38J-DIS	Gekkan Nintendo Tentou Demo 2002.9.1	Japanese	NTSC-J	2002-09-01	DOL-D38J-DIS
DOL-D39J-DIS	Gekkan Nintendo Tentou Demo 2002.10.1	Japanese	NTSC-J	2002-10-01	DOL-D39J-DIS
DOL-D42J-DIS	Gekkan Nintendo Tentou Demo 2002.11.1	Japanese	NTSC-J	2002-11-01	DOL-D42J-DIS
DOL-D43E-USA	The Legend of Zelda: Ocarina of Time / Master Quest	English	NTSC-U	2002-11-28	DOL-D43E-USA
DOL-D43J-DIS	Zelda no Densetsu: Toki no Ocarina GC	Japanese	NTSC-J	2002-11-28	DOL-D43J-DIS
DOL-D43P-EUR	The Legend of Zelda: Ocarina of Time / Master Quest	English / French / German	PAL	2002-11-28	DOL-D43P-EUR
DOL-D43U-AUS	The Legend of Zelda: Ocarina of Time / Master Quest	English / French / German	PAL	2002-11-28	DOL-D43U-AUS
DOL-D43W-KOR	The Legend of Zelda: Ocarina of Time / Master Quest	English	NTSC-J	2002-11-28	DOL-D43W-KOR
DOL-D44J-DIS	Gekkan Nintendo Tentou Demo 2002.12.1	Japanese	NTSC-J	2002-12-01	DOL-D44J-DIS
DOL-D46J-DIS	Gekkan Nintendo Tentou Demo 2003.1.1	Japanese	NTSC-J	2003-01-01	DOL-D46J-DIS
DOL-D47J-DIS	Gekkan Nintendo Tentou Demo 2003.2.1	Japanese	NTSC-J	2003-02-01	DOL-D47J-DIS
DOL-D48J-DIS	Gekkan Nintendo Tentou Demo 2003.3.1	Japanese	NTSC-J	2003-03-01	DOL-D48J-DIS
DOL-D49J-DIS	Gekkan Nintendo Tentou Demo 2003.4.1	Japanese	NTSC-J	2003-04-01	DOL-D49J-DIS
DOL-D4BD-NOE	Resident Evil 4 (Bonus Disc)	English / French / German / Italian / Spanish	PAL	2005-03-18	DOL-D4BD-NOE
DOL-D4BE-USA	Resident Evil 4 (Preview Disc)	English	NTSC-U	2004-12-01	DOL-D4BE-USA
DOL-D4BP-EUR	Resident Evil 4 (Bonus Disc)	English / French / German / Italian / Spanish	PAL	2005-03-18	DOL-D4BP-EUR
DOL-D4BP-UKV	Resident Evil 4 (Bonus Disc)	English / French / German / Italian / Spanish	PAL	2005-03-18	DOL-D4BP-UKV
DOL-D4BU-AUS	Resident Evil 4 (Bonus Disc)	English / French / German / Italian / Spanish	PAL	2005-03-24	DOL-D4BU-AUS
DOL-D52J-DIS	Gekkan Nintendo Tentou Demo 2003.5.1	Japanese	NTSC-J	2003-05-01	DOL-D52J-DIS
DOL-D53J-DIS	Nintendo GameCube Soft e-Catalog 2003 Haru	Japanese	NTSC-J	2003-05-23	DOL-D53J-DIS
DOL-D54J-DIS	Gekkan Nintendo Tentou Demo 2003.6.1	Japanese	NTSC-J	2003-06-01	DOL-D54J-DIS
DOL-D55J-DIS	Nintendo GameCube Soft e-Catalog 2003 Enjoy Plus-ban	Japanese	NTSC-J	2003-06	DOL-D55J-DIS
DOL-D56E-USA	Interactive Multi-Game Demo Disc Version 35	English	NTSC-U	2006-01-01	DOL-D56E-USA
DOL-D56J-JPN	Pokémon Channel: Bangumi Kakuchou Pack	Japanese	NTSC-J	2003-07-18	DOL-D56J-JPN
DOL-D57E-USA	Interactive Multi-Game Demo Disc Version 34	English	NTSC-U	2006-01-01	DOL-D57E-USA
DOL-D58E-USA	Interactive Multi-Game Demo Disc Version 33	English	NTSC-U	2005-11-01	DOL-D58E-USA
DOL-D59E-USA	Interactive Multi-Game Demo Disc Version 32	English	NTSC-U	2005-11-01	DOL-D59E-USA
DOL-D59J-DIS	Gekkan Nintendo Tentou Demo 2003.7.1	Japanese	NTSC-J	2003-07-01	DOL-D59J-DIS
DOL-D62E-USA	Interactive Multi-Game Demo Disc Version 31	English	NTSC-U	2005-06-01	DOL-D62E-USA
DOL-D62J-DIS	Gekkan Nintendo Tentou Demo 2003.8.1	Japanese	NTSC-J	2003-08-01	DOL-D62J-DIS
DOL-D63E-USA	Interactive Multi-Game Demo Disc Version 30	English	NTSC-U	2005-06-01	DOL-D63E-USA
DOL-D63J-DIS	Gekkan Nintendo Tentou Demo 2003.9.1	Japanese	NTSC-J	2003-09-01	DOL-D63J-DIS
DOL-D64E-USA	Interactive Multi-Game Demo Disc Version 29	English	NTSC-U	2005-03-01	DOL-D64E-USA
DOL-D64J-DIS	Gekkan Nintendo Tentou Demo 2003.10.1	Japanese	NTSC-J	2003-10-01	DOL-D64J-DIS
DOL-D65E-USA	Interactive Multi-Game Demo Disc Version 28	English	NTSC-U	2005-03-01	DOL-D65E-USA
DOL-D65J-DIS	Gekkan Nintendo Tentou Demo 2003.11.1	Japanese	NTSC-J	2003-11-01	DOL-D65J-DIS
DOL-D66E-USA	Interactive Multi-Game Demo Disc Version 27	English	NTSC-U	2005-01-01	DOL-D66E-USA
DOL-D66J-DIS	Baten Kaitos: Owaranai Tsubasa to Ushinawareta Umi	Japanese	NTSC-J	2004-09-26	DOL-D66J-DIS
DOL-D67E-USA	Interactive Multi-Game Demo Disc Version 26	English	NTSC-U	2005-01-01	DOL-D67E-USA
DOL-D67J-DIS	Gekkan Nintendo Tentou Demo 2003.12.1	Japanese	NTSC-J	2003-12-01	DOL-D67J-DIS
DOL-D68E-USA	Interactive Multi-Game Demo Disc Version 25	English	NTSC-U	2005-01-01	DOL-D68E-USA
DOL-D68J-DIS	Gekkan Nintendo Tentou Demo 2004.1.1	Japanese	NTSC-J	2004-01-01	DOL-D68J-DIS
DOL-D69E-USA	Interactive Multi-Game Demo Disc Version 24	English	NTSC-U	2005-01-01	DOL-D69E-USA
DOL-D72E-USA	Interactive Multi-Game Demo Disc Version 23	English	NTSC-U	2005-01-01	DOL-D72E-USA
DOL-D73E-USA	Interactive Multi-Game Demo Disc Version 22	English	NTSC-U	2004-11-01	DOL-D73E-USA
DOL-D73J-DIS	Gekkan Nintendo Tentou Demo 2004.2.1	Japanese	NTSC-J	2004-02-01	DOL-D73J-DIS
DOL-D74E-USA	Interactive Multi-Game Demo Disc Version 21	English	NTSC-U	2004-11-01	DOL-D74E-USA
DOL-D75E-USA	Interactive Multi-Game Demo Disc Version 20	English	NTSC-U	2004-10-01	DOL-D75E-USA
DOL-D75J-DIS	Gekkan Nintendo Tentou Demo 2004.3.1	Japanese	NTSC-J	2004-03-01	DOL-D75J-DIS
DOL-D76E-USA	Interactive Multi-Game Demo Disc Version 19	English	NTSC-U	2004-10-01	DOL-D76E-USA
DOL-D77E-USA	Interactive Multi-Game Demo Disc Version 18	English	NTSC-U	2004-10-01	DOL-D77E-USA
DOL-D77J-DIS	Gekkan Nintendo Tentou Demo 2004.4.1	Japanese	NTSC-J	2004-04-01	DOL-D77J-DIS
DOL-D77P-EUR	Interactive Multi-Game Demo Disk: April 2006	English / French / German / Italian / Spanish	PAL	2006-04-01	DOL-D77P-EUR
DOL-D78E-USA	Interactive Multi-Game Demo Disc Version 17	English	NTSC-U	2005-08-01	DOL-D78E-USA
DOL-D78J-DIS	Gekkan Nintendo Tentou Demo 2004.5.1	Japanese	NTSC-J	2004-05-01	DOL-D78J-DIS
DOL-D78P-EUR	Interactive Multi-Game Demo Disk: October 2005	English / French / German / Italian / Spanish	PAL	2005-10-01	DOL-D78P-EUR
DOL-D79E-USA	Interactive Multi-Game Demo Disc Version 16	English	NTSC-U	2004-05-01	DOL-D79E-USA
DOL-D79J-DIS	Gekkan Nintendo Tentou Demo 2004.6.1	Japanese	NTSC-J	2004-06-01	DOL-D79J-DIS
DOL-D79P-EUR	Interactive Multi-Game Demo Disk: May 2005	English / French / German / Italian / Spanish	PAL	2005-05-01	DOL-D79P-EUR
DOL-D82E-USA	Interactive Multi-Game Demo Disc Version 15	English	NTSC-U	2004-02-10	DOL-D82E-USA
DOL-D82J-DIS	Gekkan Nintendo Tentou Demo 2004.7.1	Japanese	NTSC-J	2004-07-01	DOL-D82J-DIS
DOL-D82P-EUR	Interactive Multi-Game Demo Disk: April 2005	English / French / German / Italian / Spanish	PAL	2005-04-01	DOL-D82P-EUR
DOL-D83E-USA	Interactive Multi-Game Demo Disc Version 14	English	NTSC-U	2004-01-01	DOL-D83E-USA
DOL-D83P-EUR	Interactive Multi-Game Demo Disk: February 2005	English / French / German / Italian / Spanish	PAL	2005-02-01	DOL-D83P-EUR
DOL-D84E-USA	Interactive Multi-Game Demo Disc Version 13	English	NTSC-U	2003-11-30	DOL-D84E-USA
DOL-D84J-DIS	Gekkan Nintendo Tentou Demo 2004.8.1	Japanese	NTSC-J	2004-08-01	DOL-D84J-DIS
DOL-D84P-EUR	Interactive Multi-Game Demo Disk: November 2004	English / French / German / Italian / Spanish	PAL	2004-11-01	DOL-D84P-EUR
DOL-D85E-USA	Interactive Multi-Game Demo Disc Version 12	English	NTSC-U	2003-12-31	DOL-D85E-USA
DOL-D85J-DIS	Gekkan Nintendo Tentou Demo 2004.9.1	Japanese	NTSC-J	2004-09-01	DOL-D85J-DIS
DOL-D85P-EUR	Interactive Multi-Game Demo Disk: July 2004	English / French / German / Italian / Spanish	PAL	2004-07-01	DOL-D85P-EUR
DOL-D86E-USA	Interactive Multi-Game Demo Disc Version 11	English	NTSC-U	2003-07-15	DOL-D86E-USA
DOL-D86J-DIS	Gekkan Nintendo Tentou Demo 2004.10.1	Japanese	NTSC-J	2004-10-01	DOL-D86J-DIS
DOL-D86P-EUR	Interactive Multi-Game Demo Disk: May 2004	English / French / German / Italian / Spanish	PAL	2004-05-01	DOL-D86P-EUR
DOL-D86U-AUS	Interactive Multi-Game Demo Disk: October 2005	English / French / German / Italian / Spanish	PAL	2005-10-01	DOL-D86U-AUS
DOL-D87E-USA	Nintendo GameCube Preview Disc: May 2003	English	NTSC-U	2003-05-01	DOL-D87E-USA
DOL-D87J-DIS	Gekkan Nintendo Tentou Demo 2004.11.1	Japanese	NTSC-J	2004-11-01	DOL-D87J-DIS
DOL-D87P-EUR	Interactive Multi-Game Demo Disk: March 2004	English / French / German / Italian / Spanish	PAL	2004-03-01	DOL-D87P-EUR
DOL-D87U-AUS	Interactive Multi-Game Demo Disk: February 2005	English / French / German / Italian / Spanish	PAL	2005-02-01	DOL-D87U-AUS
DOL-D88E-USA	Interactive Multi-Game Demo Disc Version 10	English	NTSC-U	2003-06-15	DOL-D88E-USA
DOL-D88J-DIS	Gekkan Nintendo Tentou Demo 2004.12.1	Japanese	NTSC-J	2004-12-01	DOL-D88J-DIS
DOL-D88P-EUR	Interactive Multi-Game Demo Disk: November 2003	English / French / German / Italian / Spanish	PAL	2003-11-01	DOL-D88P-EUR
DOL-D88U-AUS	Interactive Multi-Game Demo Disk: November 2004	English / French / German / Italian / Spanish	PAL	2004-11-01	DOL-D88U-AUS
DOL-D89E-USA	Interactive Multi-Game Demo Disc Version 9	English	NTSC-U	2003-02-15	DOL-D89E-USA
DOL-D89J-DIS	Club Nintendo Original e-Catalog 2004	Japanese	NTSC-J	2004-01-01	DOL-D89J-DIS
DOL-D89P-EUR	Interactive Multi-Game Demo Disk: September 2003	English / French / German / Italian / Spanish	PAL	2003-09-01	DOL-D89P-EUR
DOL-D89U-AUS	Interactive Multi-Game Demo Disk: May 2004	English	PAL	2004-05-01	DOL-D89U-AUS
DOL-D92E-USA	Interactive Multi-Game Demo Disc Version 8	English	NTSC-U	2002-10-15	DOL-D92E-USA
DOL-D92J-DIS	Gekkan Nintendo Tentou Demo 2004-2005 Nenmatsunenshi-gou	Japanese	NTSC-J	2004-12-01	DOL-D92J-DIS
DOL-D92P-EUR	Interactive Multi-Game Demo Disk: June 2003	English / French / German / Italian / Spanish	PAL	2003-06-01	DOL-D92P-EUR
DOL-D92U-AUS	Interactive Multi-Game Demo Disk: March 2004	English	PAL	2004-03-01	DOL-D92U-AUS
DOL-D93E-USA	Interactive Multi-Game Demo Disc Version 7	English	NTSC-U	2002-09-01	DOL-D93E-USA
DOL-D93J-DIS	Gekkan Nintendo Tentou Demo 2005.1.1	Japanese	NTSC-J	2005-01-01	DOL-D93J-DIS
DOL-D93P-EUR	Interactive Multi-Game Demo Disk: April 2003	English / French / German / Italian / Spanish	PAL	2003-04-01	DOL-D93P-EUR
DOL-D93U-AUS	Interactive Multi-Game Demo Disk: November 2003	English / French / German / Italian / Spanish	PAL	2003-11-01	DOL-D93U-AUS
DOL-D94J-DIS	Gekkan Nintendo Tentou Demo 2005.2.1	Japanese	NTSC-J	2005-02-01	DOL-D94J-DIS
DOL-D94P-EUR	Interactive Multi-Game Demo Disk: February 2003	English / French / German / Italian / Spanish	PAL	2003-02-01	DOL-D94P-EUR
DOL-D94U-AUS	Interactive Multi-Game Demo Disk: September 2003	English	PAL	2003-09-01	DOL-D94U-AUS
DOL-D95J-DIS	Gekkan Nintendo Tentou Demo 2005.3.1	Japanese	NTSC-J	2005-03-01	DOL-D95J-DIS
DOL-D95P-EUR	Interactive Multi-Game Demo Disk: December 2002	English / French / German / Italian / Spanish	PAL	2002-12-01	DOL-D95P-EUR
DOL-D95U-AUS	Interactive Multi-Game Demo Disk: April 2003	English / French / German / Italian / Spanish	PAL	2003-04-01	DOL-D95U-AUS
DOL-D96J-DIS	Gekkan Nintendo Tentou Demo 2005.4.1	Japanese	NTSC-J	2005-04-01	DOL-D96J-DIS
