ID	title	region	serial
LA-H-A224A-EUR	Ni no Kuni II: Revenant Kingdom: The Prince's Edition	EUR	LA-H-A224A-EUR
LA-H-A224A-USA	Ni no Kuni II: Revenant Kingdom: The Prince's Edition	USA	LA-H-A224A-USA
LA-H-A225B-CHT	Monster Fruit Academy	CHT	LA-H-A225B-CHT
LA-H-A22EA-USA	PJ Masks: Heroes of the Night	USA	LA-H-A22EA-USA
LA-H-A22UA-USA	New Joe & Mac: Caveman Ninja	USA	LA-H-A22UA-USA
LA-H-A22VA-USA	Horse Tales: Emerald Valley Ranch	USA	LA-H-A22VA-USA
LA-H-A23RA-USA	The Falconeer: Warrior Edition	USA	LA-H-A23RA-USA
LA-H-A23WC-JPN	Astroneer	JPN	LA-H-A23WC-JPN
LA-H-A242C-USA	Shin Chan: Me and the Profressor on Summer Vacation: The Endless Seven-Day Journey	USA	LA-H-A242C-USA
LA-H-A24AB-USA	SpongeBob SquarePants: Krusty Cook-Off: Extra Krusty Edition	USA	LA-H-A24AB-USA
LA-H-A24HA-USA	Skul: The Hero Slayer	USA	LA-H-A24HA-USA
LA-H-A24RA-USA	Autonauts	USA	LA-H-A24RA-USA
LA-H-A25DA-USA	BloodRayne Betrayal: Fresh Bites	USA	LA-H-A25DA-USA
LA-H-A25EA-USA	American Hero	USA	LA-H-A25EA-USA
LA-H-A25FA-JPN	Ninja Gaiden: Master Collection	JPN	LA-H-A25FA-JPN
LA-H-A25GB-USA	Atelier Sophie 2: The Alchemist of the Mysterious Dream	USA	LA-H-A25GB-USA
LA-H-A25JA-USA	ConnecTank	USA	LA-H-A25JA-USA
LA-H-A25VA-EUR	Alfred Hitchcock Vertigo	EUR	LA-H-A25VA-EUR
LA-H-A26CA-USA	Tails of Iron: Crimson Knight Edition	USA	LA-H-A26CA-USA
LA-H-A26WA-EUR	Reverie Knights Tactics	EUR	LA-H-A26WA-EUR
LA-H-A282A-USA	Curved Space	USA	LA-H-A282A-USA
LA-H-A287A-JPN	Disney Magical World 2: Enchanted Edition	JPN	LA-H-A287A-JPN
LA-H-A28NA-EUR	Ashwalkers: A Survival Journey (Survivor's Edition)	EUR	LA-H-A28NA-EUR
LA-H-A28SB-USA	Process of Elimination	USA	LA-H-A28SB-USA
LA-H-A298A-USA	The Smurfs: Mission Vileaf	USA	LA-H-A298A-USA
LA-H-A298C-JPN	The Smurfs: Mission Vileaf	JPN	LA-H-A298C-JPN
LA-H-A29WA-USA	Sheepo	USA	LA-H-A29WA-USA
LA-H-A29XA-USA	Neon White	USA	LA-H-A29XA-USA
LA-H-A2A2A-USA	Five Nights at Freddy’s: Core Collection	USA	LA-H-A2A2A-USA
LA-H-A2AEA-JPN	Lyrica & Lyrica 2: Stars Align	JPN	LA-H-A2AEA-JPN
LA-H-A2APB-EUR	Dragon Ball Z: Kakarot + A New Power Awakens Set	EUR	LA-H-A2APB-EUR
LA-H-A2APB-USA	Dragon Ball Z: Kakarot + A New Power Awakens Set	USA	LA-H-A2APB-USA
LA-H-A2AXA-ASI	SaGa Frontier Remastered	ASI	LA-H-A2AXA-ASI
LA-H-A2BDA-USA	Sam & Max: Save the World	USA	LA-H-A2BDA-USA
LA-H-A2BMA-USA	There Is No Game: Wrong Dimension	USA	LA-H-A2BMA-USA
LA-H-A2BPA-USA	Destroy All Humans!	USA	LA-H-A2BPA-USA
LA-H-A2CDC-USA	Taiko no Tatsujin: Rhythm Festival	USA	LA-H-A2CDC-USA
LA-H-A2CKA-JPN	RPGolf Legends	JPN	LA-H-A2CKA-JPN
LA-H-A2CKA-USA	RPGolf Legends	USA	LA-H-A2CKA-USA
LA-H-A2CPA-EUR	Leisure Suit Larry: Wet Dreams Dry Twice	EUR	LA-H-A2CPA-EUR
LA-H-A2DJA-EUR	PAW Patrol the Movie: Adventure City Calls	EUR	LA-H-A2DJA-EUR
LA-H-A2DJA-USA	PAW Patrol the Movie: Adventure City Calls	USA	LA-H-A2DJA-USA
LA-H-A2DKA-USA	Blaze and the Monster Machines: Axel City Racers	USA	LA-H-A2DKA-USA
LA-H-A2E9A-EUR	Hot Wheels Unleashed	EUR	LA-H-A2E9A-EUR
LA-H-A2E9A-USA	Hot Wheels Unleashed	USA	LA-H-A2E9A-USA
LA-H-A2F2B-USA	Fatal Twelve	USA	LA-H-A2F2B-USA
LA-H-A2F3A-JPN	Island	JPN	LA-H-A2F3A-JPN
